iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	scale	shape
26500	19.623	0.571	-3609.626	-23.337	-3586.289	0.32	1.0	3.446	0.379
26600	19.687	0.557	-3608.161	-23.347	-3584.814	0.32	1.0	3.458	0.376
26700	19.752	0.564	-3608.798	-24.368	-3584.43	0.32	1.0	2.87	0.363
26800	19.818	0.571	-3609.567	-23.868	-3585.7	0.32	1.0	3.131	0.372
26900	19.883	0.571	-3609.567	-23.868	-3585.7	0.32	1.0	3.131	0.372
27000	19.952	0.571	-3609.567	-23.868	-3585.7	0.32	1.0	3.131	0.372
27100	20.028	0.571	-3609.567	-23.868	-3585.7	0.32	1.0	3.131	0.372
27200	20.094	0.575	-3609.902	-22.929	-3586.973	0.32	1.0	3.709	0.385
27300	20.16	0.575	-3609.902	-22.929	-3586.973	0.32	1.0	3.709	0.385
27400	20.225	0.575	-3609.902	-22.929	-3586.973	0.32	1.0	3.709	0.385
27500	20.295	0.564	-3611.516	-25.361	-3586.155	0.32	1.0	2.375	0.357
27600	20.362	0.552	-3609.812	-24.126	-3585.686	0.32	1.0	2.985	0.369
27700	20.427	0.551	-3609.779	-21.241	-3588.537	0.32	1.0	5.056	0.41
27800	20.503	0.539	-3610.378	-21.065	-3589.313	0.32	1.0	5.217	0.413
27900	20.569	0.539	-3610.378	-21.065	-3589.313	0.32	1.0	5.217	0.413
28000	20.634	0.539	-3610.378	-21.065	-3589.313	0.32	1.0	5.217	0.413
28100	20.704	0.539	-3610.378	-21.065	-3589.313	0.32	1.0	5.217	0.413
28200	20.768	0.541	-3608.722	-21.392	-3587.33	0.32	1.0	4.934	0.405
28300	20.845	0.553	-3609.42	-21.837	-3587.582	0.32	1.0	4.535	0.4
28400	20.918	0.553	-3609.42	-21.837	-3587.582	0.32	1.0	4.535	0.4
28500	20.991	0.568	-3609.465	-22.391	-3587.074	0.32	1.0	4.097	0.392
28600	21.072	0.568	-3609.465	-22.391	-3587.074	0.32	1.0	4.097	0.392
28700	21.158	0.568	-3609.465	-22.391	-3587.074	0.32	1.0	4.097	0.392
28800	21.239	0.568	-3609.465	-22.391	-3587.074	0.32	1.0	4.097	0.392
28900	21.322	0.568	-3609.465	-22.391	-3587.074	0.32	1.0	4.097	0.392
29000	21.405	0.541	-3609.268	-21.237	-3588.03	0.32	1.0	5.068	0.408
29100	21.488	0.541	-3609.268	-21.237	-3588.03	0.32	1.0	5.068	0.408
